Designator,Mid X,Mid Y,Rotation,Layer
C1,135.8,-82.8,90.0,top
C10,179.9,-104.3,270.0,top
C11,147.025,-104.6,0.0,top
C12,177.2,-105.1,270.0,top
C13,177.2,-108.2,270.0,top
C14,122.721,-84.778,270.0,top
C15,128.82,-83.058,90.0,top
C16,128.82,-86.058,90.0,top
C17,150.27,-91.7,270.0,top
C18,156.5,-95.25,0.0,top
C19,134.2,-104.6,0.0,top
C2,138.52,-83.039,0.0,top
C20,121.2,-104.6,0.0,top
C23,156.74,-103.7,90.0,top
C3,143.5115,-94.469,180.0,top
C4,135.2565,-86.468,270.0,top
C5,146.82,-86.0,270.0,top
C6,131.7675,-90.772,180.0,top
C7,135.2565,-90.02,90.0,top
C8,131.7675,-91.788,180.0,top
C9,172.0,-102.2,180.0,top
D2,166.82,-91.75,0.0,top
D3,122.5325,-93.658,0.0,top
D4,122.5325,-91.408,0.0,top
D5,122.5325,-95.908,0.0,top
F2,171.9375,-100.0,0.0,top
FB1,133.825,-91.975,270.0,top
J1,147.75,-81.5,270.0,top
J2,131.1,-107.35,0.0,top
J3,173.595,-91.945,90.0,top
J4,144.0,-107.35,0.0,top
J5,156.9,-107.35,0.0,top
J6,118.2,-107.35,0.0,top
JP1,160.4,-82.0,270.0,top
JP2,160.4,-85.048,270.0,top
L1,177.2,-100.0,180.0,top
R10,147.025,-103.0,180.0,top
R11,158.49,-103.7,90.0,top
R12,160.24,-103.7,270.0,top
R13,125.7925,-93.5355,0.0,top
R14,125.7925,-91.3755,0.0,top
R15,125.8125,-95.908,0.0,top
R4,157.9,-79.5,180.0,top
R5,157.67,-87.4,180.0,top
R6,133.38,-88.496,180.0,top
R7,122.721,-81.222,270.0,top
R8,163.32,-90.25,180.0,top
R9,163.32,-93.25,0.0,top
SW1,119.8,-83.0,90.0,top
U1,141.0,-88.75,0.0,top
U2,183.2,-101.6,270.0,top
U3,172.0,-107.0,180.0,top
U4,154.75,-91.75,0.0,top
Y1,131.57,-84.558,270.0,top
