Designator,Mid X,Mid Y,Rotation,Layer
C1,132.0795,-80.967,270.0,top
C10,180.0,-106.25,90.0,top
C11,181.0,-110.75,270.0,top
C12,150.8,-104.35,90.0,top
C13,145.05,-107.1,180.0,top
C14,157.722,-97.421,180.0,top
C15,125.775,-80.123,0.0,top
C16,122.6,-80.123,0.0,top
C17,149.7,-84.042,270.0,top
C18,156.68,-88.592,90.0,top
C19,123.9,-104.308,90.0,top
C2,134.2,-80.381,0.0,top
C20,118.15,-106.9,180.0,top
C21,135.2,-103.7,90.0,top
C22,129.475,-107.0,180.0,top
C23,161.64,-106.4,90.0,top
C3,139.1915,-91.811,180.0,top
C4,130.9365,-83.81,270.0,top
C5,142.5,-83.342,270.0,top
C6,128.21,-87.747,180.0,top
C7,130.9365,-87.362,90.0,top
C8,128.21,-88.763,180.0,top
C9,180.75,-102.5,180.0,top
D1,176.25,-102.75,90.0,top
D2,166.25,-84.092,0.0,top
D3,118.2125,-91.0,0.0,top
D4,118.2125,-88.75,0.0,top
D5,118.2125,-93.25,0.0,top
F2,177.75,-98.5,0.0,top
FB1,129.861,-88.255,270.0,top
J1,143.43,-78.842,270.0,top
J2,118.88,-110.032,0.0,top
J3,173.595,-91.945,90.0,top
J4,130.68,-110.092,0.0,top
J5,161.8,-110.05,0.0,top
JP1,148.68,-90.592,270.0,top
JP2,148.68,-93.64,270.0,top
L1,176.961533,-107.0,270.0,top
R1,184.0,-102.5,270.0,top
R10,132.68,-106.992,180.0,top
R11,163.39,-106.4,90.0,top
R12,165.14,-106.4,270.0,top
R13,121.4725,-90.8775,0.0,top
R14,121.4725,-88.7175,0.0,top
R15,121.4925,-93.25,0.0,top
R2,184.175,-109.25,0.0,top
R3,184.175,-110.75,180.0,top
R4,146.18,-88.092,180.0,top
R5,145.95,-95.799,180.0,top
R6,129.06,-85.838,180.0,top
R7,161.278,-97.421,180.0,top
R8,162.75,-82.592,180.0,top
R9,162.75,-85.592,0.0,top
SW1,159.5,-94.5,0.0,top
U1,136.68,-86.092,0.0,top
U2,182.5,-106.25,90.0,top
U3,146.3,-101.6,90.0,top
U4,154.18,-84.092,0.0,top
U5,119.4,-101.4,90.0,top
U6,130.7,-101.5,90.0,top
Y1,126.5,-83.171,180.0,top
