Designator,Mid X,Mid Y,Rotation,Layer
C1,132.0795,-80.967,270.0,top
C10,172.75,-103.75,180.0,top
C11,151.725,-111.5,0.0,top
C12,151.75,-103.5,90.0,top
C13,145.05,-107.1,180.0,top
C14,101.671,-75.778,270.0,top
C15,125.775,-80.123,0.0,top
C16,122.6,-80.123,0.0,top
C17,150.27,-91.7,270.0,top
C18,156.5,-95.25,0.0,top
C19,123.9,-104.308,90.0,top
C2,134.2,-80.381,0.0,top
C20,118.775,-105.25,180.0,top
C23,161.64,-106.4,90.0,top
C3,139.1915,-91.811,180.0,top
C4,130.9365,-83.81,270.0,top
C5,142.5,-83.342,270.0,top
C6,128.21,-87.747,180.0,top
C7,130.9365,-87.362,90.0,top
C8,128.21,-88.763,180.0,top
C9,178.75,-102.0,180.0,top
D2,166.82,-91.75,0.0,top
D3,118.2125,-91.0,0.0,top
D4,118.2125,-88.75,0.0,top
D5,118.2125,-93.25,0.0,top
F2,178.0,-99.75,0.0,top
FB1,129.861,-88.255,270.0,top
J1,143.43,-78.842,270.0,top
J2,118.88,-110.032,0.0,top
J3,173.595,-91.945,90.0,top
J4,130.68,-110.092,0.0,top
J5,161.8,-110.05,0.0,top
J6,152.245,-107.02,0.0,top
JP1,157.0,-68.952,270.0,top
JP2,157.0,-72.0,270.0,top
L1,183.05105,-99.75,180.0,top
R10,132.68,-106.992,180.0,top
R11,163.39,-106.4,90.0,top
R12,165.14,-106.4,270.0,top
R13,121.4725,-90.8775,0.0,top
R14,121.4725,-88.7175,0.0,top
R15,121.4925,-93.25,0.0,top
R4,154.5,-66.452,180.0,top
R5,154.27,-74.159,180.0,top
R6,129.06,-85.838,180.0,top
R7,101.671,-72.222,270.0,top
R8,163.32,-90.25,180.0,top
R9,163.32,-93.25,0.0,top
SW1,98.75,-74.0,90.0,top
U1,136.68,-86.092,0.0,top
U2,176.5,-107.5,180.0,top
U3,146.3,-101.6,90.0,top
U4,154.75,-91.75,0.0,top
Y1,126.5,-83.171,180.0,top
